,Seed,Technique,Feature,Percentage,R2,RMSE
97,8,NN1,Temp,5,0.9665353171022366,0.14506617093253704
98,8,NN1,UR,5,0.9375256764685759,0.24318179925607228
99,8,NN1,Pres,10,0.9909479628728236,0.09194456411896929
100,8,NN1,Temp,10,0.9625901282923086,0.17004561269871754
101,8,NN1,UR,10,0.9284071745354899,0.2514884179750255
102,8,NN1,Pres,25,0.9903323201715739,0.09353603535341694
103,8,NN1,Temp,25,0.9631654755756512,0.168178478545717
104,8,NN1,UR,25,0.9225507530140561,0.26101982441616434
105,8,NN1,Pres,50,0.9909628441603909,0.0918595244346142
106,8,NN1,Temp,50,0.9622624752738509,0.17014480259435838
107,8,NN1,UR,50,0.9227440882420899,0.26233070865601565
108,9,NN1,Pres,5,0.9905704561211784,0.09669273581262769
109,9,NN1,Temp,5,0.9385060111544216,0.18059626541827278
110,9,NN1,UR,5,0.9189465711727391,0.25470131091632875
111,9,NN1,Pres,10,0.9916684708040879,0.09045338708207767
112,9,NN1,Temp,10,0.9539624131403294,0.1829828037528191
113,9,NN1,UR,10,0.925203578054376,0.2559791503218434
114,9,NN1,Pres,25,0.9907706920992818,0.09497421372800002
115,9,NN1,Temp,25,0.9580554276219533,0.17671684260878315
116,9,NN1,UR,25,0.9246781261693571,0.25738809971176574
117,9,NN1,Pres,50,0.9913895450787186,0.09106068270579872
118,9,NN1,Temp,50,0.958245749128631,0.1782201585194384
119,9,NN1,UR,50,0.9268620190745,0.2539695167175515
120,10,NN1,Pres,5,0.9911984252318178,0.08907608041253487
121,10,NN1,Temp,5,0.9632011333330608,0.15957018121951563
122,10,NN1,UR,5,0.9335790557936421,0.24199160406988346
123,10,NN1,Pres,10,0.9911828229449063,0.08973064844817022
124,10,NN1,Temp,10,0.9670580872263324,0.15776284704590235
125,10,NN1,UR,10,0.922629873082009,0.2666226050587896
126,10,NN1,Pres,25,0.9910690971091165,0.09063173038979962
127,10,NN1,Temp,25,0.9648680738506589,0.16399380416604367
128,10,NN1,UR,25,0.9287252170374108,0.25506304049925366
129,10,NN1,Pres,50,0.9912922703456563,0.09035910200626973
130,10,NN1,Temp,50,0.9631331067634034,0.16880941158804758
131,10,NN1,UR,50,0.925546440774643,0.259346205858422
132,11,NN1,Pres,5,0.9901768830545598,0.08780566105315189
133,11,NN1,Temp,5,0.9555743144682859,0.17642188013388432
134,11,NN1,UR,5,0.9441957725971444,0.21902614168346982
135,11,NN1,Pres,10,0.9914670218113498,0.08957490759397037
136,11,NN1,Temp,10,0.9684180786874771,0.15297015835002098
137,11,NN1,UR,10,0.936876755935184,0.24074485229350057
138,11,NN1,Pres,25,0.9914244006204018,0.08948197339237195
139,11,NN1,Temp,25,0.9655080566742855,0.16254100909970784
140,11,NN1,UR,25,0.9310562491826914,0.24910283640184816
141,11,NN1,Pres,50,0.99129370994034,0.09073834767132254
142,11,NN1,Temp,50,0.9653545482730759,0.16403926557767623
143,11,NN1,UR,50,0.9307105209143455,0.24943406282771508
144,12,NN1,Pres,5,0.9903729481375888,0.08342499300454875
145,12,NN1,Temp,5,0.977000938961269,0.13736437025602316
146,12,NN1,UR,5,0.9311147617462677,0.24484247829938416
147,12,NN1,Pres,10,0.9909933724211948,0.08575574761896279
148,12,NN1,Temp,10,0.9578622128947296,0.1812731870828238
149,12,NN1,UR,10,0.9366962408413085,0.2365655937241102
150,12,NN1,Pres,25,0.9918774976990087,0.08742013604783938
151,12,NN1,Temp,25,0.956726999543844,0.18138337333741916
152,12,NN1,UR,25,0.9283295855888306,0.25785706702898237
153,12,NN1,Pres,50,0.9916561589600829,0.0887941791517732
154,12,NN1,Temp,50,0.9609141947617541,0.17393916710243126
155,12,NN1,UR,50,0.9291589246553273,0.2531402086868167
156,13,NN1,Pres,5,0.9920097768170743,0.0920738201579192
157,13,NN1,Temp,5,0.9710855364418207,0.15145277518103098
158,13,NN1,UR,5,0.9283848823073645,0.2509251414089299
159,13,NN1,Pres,10,0.9919384843292071,0.08802464907505811
160,13,NN1,Temp,10,0.9689471809016345,0.1519506370016552
161,13,NN1,UR,10,0.9200576492641992,0.2693047642770796
162,13,NN1,Pres,25,0.9913420884736415,0.09011846010235834
163,13,NN1,Temp,25,0.9677996142326573,0.15892800916494704
164,13,NN1,UR,25,0.9210378605643322,0.2639688804492352
165,13,NN1,Pres,50,0.9915259783483807,0.08899217466250936
166,13,NN1,Temp,50,0.9662600270007322,0.16307586558912343
167,13,NN1,UR,50,0.9218065245262204,0.2638416608578403
168,14,NN1,Pres,5,0.9919055474872028,0.08207716108622885
169,14,NN1,Temp,5,0.9651952715720871,0.16288383677923202
170,14,NN1,UR,5,0.932198369535063,0.2630624533922652
171,14,NN1,Pres,10,0.9921503572086819,0.08760051490013426
172,14,NN1,Temp,10,0.9644542384577036,0.1632916943590436
173,14,NN1,UR,10,0.934908530489438,0.24924278217384666
174,14,NN1,Pres,25,0.9903582380846828,0.0961214507484669
175,14,NN1,Temp,25,0.9641755990743887,0.16804660141872832
176,14,NN1,UR,25,0.929407802301439,0.2519845697367481
177,14,NN1,Pres,50,0.9908068763374976,0.09402751938472899
178,14,NN1,Temp,50,0.9624248620904504,0.17073490214731382
179,14,NN1,UR,50,0.9288885095466176,0.2525452180595325
180,15,NN1,Pres,5,0.9922542207693087,0.08318578361526072
181,15,NN1,Temp,5,0.9651952715720871,0.16288383677923202
182,15,NN1,UR,5,0.9375256764685759,0.24318179925607228
183,15,NN1,Pres,10,0.9925036865106188,0.0832226468259675
184,15,NN1,Temp,10,0.9644542384577036,0.1632916943590436
185,15,NN1,UR,10,0.9284071745354899,0.2514884179750255
186,15,NN1,Pres,25,0.9913718114134966,0.0890693650186398
187,15,NN1,Temp,25,0.9641755990743887,0.16804660141872832
188,15,NN1,UR,25,0.9225507530140561,0.26101982441616434
189,15,NN1,Pres,50,0.9906765138618828,0.0931240986567009
190,15,NN1,Temp,50,0.9624248620904504,0.17073490214731382
191,15,NN1,UR,50,0.9227440882420899,0.26233070865601565
192,16,NN1,Pres,5,0.9928704090848192,0.08871455135160936
193,16,NN1,Temp,5,0.9603561333514493,0.17532453779993928
194,16,NN1,UR,5,0.9377839818125892,0.24758877529080028
195,16,NN1,Pres,10,0.9907261781587512,0.09349735577363444
196,16,NN1,Temp,10,0.9669312178798113,0.16475125875995958
197,16,NN1,UR,10,0.9275296957295515,0.25109601381955043
198,16,NN1,Pres,25,0.9901170703048766,0.0980189112163658
199,16,NN1,Temp,25,0.9597464847854777,0.1770527919672246
200,16,NN1,UR,25,0.9300727599840504,0.2494028250571976
201,16,NN1,Pres,50,0.9900904384025953,0.09783128181642015
202,16,NN1,Temp,50,0.9597094787589193,0.17583816818272005
203,16,NN1,UR,50,0.9308035497948115,0.24821191024541472
204,17,NN1,Pres,5,0.9904205826812335,0.09583549072814405
205,17,NN1,Temp,5,0.9731188534200159,0.14426512812626055
206,17,NN1,UR,5,0.932198369535063,0.2630624533922652
207,17,NN1,Pres,10,0.9898867601319921,0.09912751549032507
208,17,NN1,Temp,10,0.9587505054911774,0.17224984086610795
209,17,NN1,UR,10,0.934908530489438,0.24924278217384666
210,17,NN1,Pres,25,0.9915912400679481,0.09161409603793189
211,17,NN1,Temp,25,0.9590011625926351,0.17689254577609
212,17,NN1,UR,25,0.929407802301439,0.2519845697367481
213,17,NN1,Pres,50,0.9913769460492852,0.09178125799676923
214,17,NN1,Temp,50,0.958351708315074,0.1790561545403569
215,17,NN1,UR,50,0.9288885095466176,0.2525452180595325
216,18,NN1,Pres,5,0.9886629063618978,0.10230733063192768
217,18,NN1,Temp,5,0.9723289378038478,0.1483021321243101
218,18,NN1,UR,5,0.9254600683232734,0.2649053676411037
219,18,NN1,Pres,10,0.988854690802448,0.10504356289779376
220,18,NN1,Temp,10,0.9677221415924294,0.15834512081994
221,18,NN1,UR,10,0.9324071776543496,0.24873931159491935
222,18,NN1,Pres,25,0.9910913129657736,0.09343532880191853
223,18,NN1,Temp,25,0.9638094988794196,0.16657696014149437
224,18,NN1,UR,25,0.9263171794125052,0.25364941654240314
225,18,NN1,Pres,50,0.9908061474902226,0.09373165843424451
226,18,NN1,Temp,50,0.9642679411085104,0.16620844926207187
227,18,NN1,UR,50,0.9288216461119719,0.25123670010905624
228,19,NN1,Pres,5,0.9915177169158845,0.08537507715835975
229,19,NN1,Temp,5,0.9757472091068955,0.13236714897196364
230,19,NN1,UR,5,0.9246790119703413,0.2598087990876445
231,19,NN1,Pres,10,0.9919538992829651,0.08592095914607703
232,19,NN1,Temp,10,0.9677806297396299,0.15839228896693652
