,Seed,Technique,Feature,Percentage,R2,RMSE
90,30,Average4v,Pres,5,0.9440283878454759,0.22910906992339053
91,30,Average4v,Temp,5,0.8684699607003008,0.3139479245250137
92,30,Average4v,UR,5,0.7757173193483592,0.4489883123232757
93,31,Average4v,Pres,5,0.9457453422498766,0.23992484421104654
94,31,Average4v,Temp,5,0.835447699643727,0.34595285816188737
95,31,Average4v,UR,5,0.8181694595363255,0.41381223609523005
96,32,Average4v,Pres,5,0.94081689731794,0.2287557022944735
97,32,Average4v,Temp,5,0.8750755683002817,0.29674976312637424
98,32,Average4v,UR,5,0.8225081397699601,0.4098920610440933
99,33,Average4v,Pres,5,0.9275051400833373,0.24768728521310843
100,33,Average4v,Temp,5,0.8331393850004016,0.3349114832290865
101,33,Average4v,UR,5,0.7783156395058564,0.45533176588589797
102,34,Average4v,Pres,5,0.9567683930810964,0.21472113508063667
103,34,Average4v,Temp,5,0.8469237320226543,0.3491863734426305
104,34,Average4v,UR,5,0.8379941757488022,0.38211824251538407
105,35,Average4v,Pres,5,0.9430146154966708,0.2459262778186185
106,35,Average4v,Temp,5,0.8454170727480016,0.32705084838177867
107,35,Average4v,UR,5,0.8039014481074702,0.42800983125872777
108,36,Average4v,Pres,5,0.9450867402884381,0.23886565193630696
109,36,Average4v,Temp,5,0.8577534677050026,0.3205680220687439
110,36,Average4v,UR,5,0.7176091458672486,0.4856814799211186
111,37,Average4v,Pres,5,0.9288174192193458,0.261242414590563
112,37,Average4v,Temp,5,0.8582920408067158,0.3196399176115935
113,37,Average4v,UR,5,0.7417007922430245,0.4767901016576215
114,38,Average4v,Pres,5,0.9567683930810964,0.21472113508063667
115,38,Average4v,Temp,5,0.8730785005945545,0.3399506341697867
116,38,Average4v,UR,5,0.7479625092512134,0.46145011684434156
117,39,Average4v,Pres,5,0.9284336907635725,0.2540008779173205
118,39,Average4v,Temp,5,0.8652702821305451,0.30061930971489914
119,39,Average4v,UR,5,0.8049079590017894,0.4147320056111227
120,40,Average4v,Pres,5,0.9168838241384897,0.2518753938143245
121,40,Average4v,Temp,5,0.863042732663766,0.28081136612959223
122,40,Average4v,UR,5,0.8067764438511824,0.4259448637775365
123,41,Average4v,Pres,5,0.9218686239624796,0.26525868186638807
124,41,Average4v,Temp,5,0.8720872163655073,0.34148826581695185
125,41,Average4v,UR,5,0.7563715461243355,0.46437619914506345
126,42,Average4v,Pres,5,0.9367262773140619,0.24759390764181097
127,42,Average4v,Temp,5,0.8608510487134474,0.3144729502917696
128,42,Average4v,UR,5,0.7831005356551008,0.4326418137809768
129,43,Average4v,Pres,5,0.9457062713273613,0.2316395100985337
130,43,Average4v,Temp,5,0.8553270845345705,0.32462475557153364
131,43,Average4v,UR,5,0.749364672459754,0.4527185691264942
132,44,Average4v,Pres,5,0.9275051400833373,0.24768728521310843
133,44,Average4v,Temp,5,0.8720872163655073,0.34148826581695185
134,44,Average4v,UR,5,0.7757173193483592,0.4489883123232757
135,45,Average4v,Pres,5,0.9133234784539899,0.25032271484927743
136,45,Average4v,Temp,5,0.8937769811428041,0.2919846559020229
137,45,Average4v,UR,5,0.8517495218953856,0.37137804147610753
138,46,Average4v,Pres,5,0.9380852085685424,0.23786401337385335
139,46,Average4v,Temp,5,0.86413740178069,0.32456722114328135
140,46,Average4v,UR,5,0.8208016228707895,0.40074017865566836
141,47,Average4v,Pres,5,0.9307158018200002,0.24919178998337455
142,47,Average4v,Temp,5,0.887524612126782,0.2950979693644825
143,47,Average4v,UR,5,0.8264691411335298,0.3995470874048899
144,48,Average4v,Pres,5,0.9335266318903578,0.2499671658600235
145,48,Average4v,Temp,5,0.8679830903036105,0.30960801971274776
146,48,Average4v,UR,5,0.8061872214766861,0.4371691560757129
147,49,Average4v,Pres,5,0.9288438450592763,0.25630797685010814
148,49,Average4v,Temp,5,0.8938175013257614,0.32726675213330997
149,49,Average4v,UR,5,0.8208016228707895,0.40074017865566836
150,0,Average4v,Pres,10,0.9388024309611356,0.23866428032241496
151,0,Average4v,Temp,10,0.8658594337108969,0.3137815097040992
152,0,Average4v,UR,10,0.7906516114101378,0.43857626425387
153,1,Average4v,Pres,10,0.942720166589942,0.22725812295805875
154,1,Average4v,Temp,10,0.8687057834338225,0.3138289342043858
155,1,Average4v,UR,10,0.7914346285837981,0.42895797235126437
156,2,Average4v,Pres,10,0.9376995004683273,0.2414327927032335
157,2,Average4v,Temp,10,0.8776564553140462,0.3040330934051199
158,2,Average4v,UR,10,0.7914346285837981,0.42895797235126437
159,3,Average4v,Pres,10,0.9348167288114708,0.2441199954352535
160,3,Average4v,Temp,10,0.8606913695006978,0.3461375672195296
161,3,Average4v,UR,10,0.758472476136091,0.45998905291535636
162,4,Average4v,Pres,10,0.9375394350470795,0.24333996416087578
163,4,Average4v,Temp,10,0.8750221653158828,0.3073361031914171
164,4,Average4v,UR,10,0.7888687379644561,0.43961288138406757
165,5,Average4v,Pres,10,0.9393118871845269,0.2396722077089488
166,5,Average4v,Temp,10,0.8747621810765009,0.3075704879060844
167,5,Average4v,UR,10,0.7906080270117547,0.42335918202791833
168,6,Average4v,Pres,10,0.9439166670484114,0.23233574255549866
169,6,Average4v,Temp,10,0.8643250355342486,0.3212514619056985
170,6,Average4v,UR,10,0.7700094903614743,0.4418867003060564
171,7,Average4v,Pres,10,0.9357453800944532,0.24228919622225673
172,7,Average4v,Temp,10,0.8768013596249215,0.3096617410227892
173,7,Average4v,UR,10,0.7685758950823589,0.4365414174512293
174,8,Average4v,Pres,10,0.9363905105897863,0.24373272821113842
175,8,Average4v,Temp,10,0.8573644035151179,0.3320368485380979
176,8,Average4v,UR,10,0.7838195237527821,0.4370100979305012
177,9,Average4v,Pres,10,0.9419715608081216,0.23871676384615523
178,9,Average4v,Temp,10,0.8640365823119928,0.31445973099836894
179,9,Average4v,UR,10,0.758472476136091,0.45998905291535636
180,10,Average4v,Pres,10,0.9336689473774067,0.24611295221185384
181,10,Average4v,Temp,10,0.8776564553140462,0.3040330934051199
182,10,Average4v,UR,10,0.7906516114101378,0.43857626425387
183,11,Average4v,Pres,10,0.9388222326937401,0.23984621136504014
184,11,Average4v,Temp,10,0.8617633667014379,0.3200361349100199
185,11,Average4v,UR,10,0.7997599041492469,0.42878331418547144
186,12,Average4v,Pres,10,0.9297664052418347,0.2394719130325713
187,12,Average4v,Temp,10,0.8733028375912947,0.3143266125660873
188,12,Average4v,UR,10,0.79486915489174,0.4258457479409449
189,13,Average4v,Pres,10,0.9406078258551058,0.23892443236523694
190,13,Average4v,Temp,10,0.8695501382839373,0.3114395906926387
191,13,Average4v,UR,10,0.7718263233279813,0.4549758546458264
192,14,Average4v,Pres,10,0.9363381619505236,0.24947170693919557
193,14,Average4v,Temp,10,0.8687057834338225,0.3138289342043858
194,14,Average4v,UR,10,0.8044247677580889,0.4320335558507036
195,15,Average4v,Pres,10,0.9400821089719664,0.23528590620417938
196,15,Average4v,Temp,10,0.8687057834338225,0.3138289342043858
197,15,Average4v,UR,10,0.7838195237527821,0.4370100979305012
198,16,Average4v,Pres,10,0.9449204494495856,0.22785845499144575
199,16,Average4v,Temp,10,0.8797270503688814,0.3141981489004691
200,16,Average4v,UR,10,0.769767543002417,0.4475515340112591
201,17,Average4v,Pres,10,0.9383443878233011,0.24475714255438055
202,17,Average4v,Temp,10,0.8542262080403153,0.32380924158968105
